id,leadId,fromTeamId,toTeamId,transferredByProfileId,receivedByProfileId,fromManagerId,toManagerId,transferTagUsed,preScheduledAt,scheduledAtTransfer,createdAt
6aea4d86-d7ae-4faf-8793-7c90741783ec,e02bd93a-c3a3-49bd-8327-c49c0b6874d2,7b577c22-5513-42cc-ab19-2bf867e14ebc,13bbd043-efcc-4c8a-9edd-f34941547546,d97f16a7-e2f6-4194-9425-f82d793e73ce,2528e875-ab7b-4905-a98b-998a318b883e,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-01 18:00:00+00,t,2026-07-01 14:12:15.018+00
7e46e17d-0e33-46a7-9287-65c9865d8608,89b5bf59-e262-405c-99d7-46ddd6599d90,7b577c22-5513-42cc-ab19-2bf867e14ebc,3258f102-8146-4986-964f-8c8f53441300,d97f16a7-e2f6-4194-9425-f82d793e73ce,678c949f-b372-4aba-9d9b-26d422134531,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-02 13:00:00+00,t,2026-07-01 14:22:45.638+00
75fda98e-4fc6-43a6-94ef-306d1630472a,1244089b-769d-4b85-bd5e-98ab287af2b0,7b577c22-5513-42cc-ab19-2bf867e14ebc,13bbd043-efcc-4c8a-9edd-f34941547546,d97f16a7-e2f6-4194-9425-f82d793e73ce,2528e875-ab7b-4905-a98b-998a318b883e,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-02 18:00:00+00,t,2026-07-01 20:38:09.037+00
64c5aec0-fbe5-4fc7-a247-93cdf8d5368c,c2ef8df5-02ef-4a86-ad1a-70b736bc5f75,7b577c22-5513-42cc-ab19-2bf867e14ebc,27edf455-e61a-48a9-a846-e2c6f42999b5,d97f16a7-e2f6-4194-9425-f82d793e73ce,2a72272f-56f2-4104-9952-5d3d8b19ff1d,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-02 13:00:00+00,t,2026-07-02 11:34:04.37+00
d8c06f1e-06d1-4681-ae38-8f43e4e1a7bb,7e7cd822-47be-4da4-b725-6eed6467ebc8,7b577c22-5513-42cc-ab19-2bf867e14ebc,27edf455-e61a-48a9-a846-e2c6f42999b5,d97f16a7-e2f6-4194-9425-f82d793e73ce,2a72272f-56f2-4104-9952-5d3d8b19ff1d,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-02 18:00:00+00,t,2026-07-02 17:08:08.115+00
073256a9-a738-4fcf-a874-f9c7cd0642a6,6cf1f596-0dd9-42df-8b34-16bdd7b514f8,7b577c22-5513-42cc-ab19-2bf867e14ebc,760fc14a-229e-4212-9aa9-f90de968af69,d97f16a7-e2f6-4194-9425-f82d793e73ce,1ed74e00-4a16-47cb-84fc-8021943b5fa3,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-03 19:00:00+00,t,2026-07-02 19:57:21.269+00
6ca17bec-60da-4d59-8ed5-0081fd8c325c,e3b73a64-bb80-4889-9696-4344f55de155,7b577c22-5513-42cc-ab19-2bf867e14ebc,13bbd043-efcc-4c8a-9edd-f34941547546,d97f16a7-e2f6-4194-9425-f82d793e73ce,2528e875-ab7b-4905-a98b-998a318b883e,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-06 19:00:00+00,t,2026-07-02 19:58:28.467+00
f0e83738-8405-41b1-ad64-c1c44b362d4e,ecc4d2ac-e527-4459-91b7-47043648af00,7b577c22-5513-42cc-ab19-2bf867e14ebc,a9c81e05-8b1a-47ad-a80d-dbc45603f068,d97f16a7-e2f6-4194-9425-f82d793e73ce,236ad193-19a5-4425-a354-f763852904d8,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-08 14:00:00+00,t,2026-07-07 17:01:55.581+00
dda14c52-ca65-48f6-be24-07b27b051571,57b47077-b972-4e90-99c5-bdae0031068c,7b577c22-5513-42cc-ab19-2bf867e14ebc,3258f102-8146-4986-964f-8c8f53441300,d97f16a7-e2f6-4194-9425-f82d793e73ce,678c949f-b372-4aba-9d9b-26d422134531,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-08 14:00:00+00,t,2026-07-07 17:04:21.052+00
d9735753-e3e0-4adc-a5fb-989ae40f83fb,c53bc4f1-2f06-442b-ba4a-e4e30ada1af3,7b577c22-5513-42cc-ab19-2bf867e14ebc,a9c81e05-8b1a-47ad-a80d-dbc45603f068,d97f16a7-e2f6-4194-9425-f82d793e73ce,236ad193-19a5-4425-a354-f763852904d8,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-08 16:00:00+00,t,2026-07-07 17:38:12.66+00
