id,templateId,teamId,actorProfileId,eventType,description,metadata,createdAt
eb873fbf-7f64-4e88-835b-fe6f21f6503b,72131db2-2c67-4f60-a565-33de09cbcef9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 2}",2026-07-04 20:47:27.678+00
4ffec39e-fe46-473f-9206-dfde738198ba,72131db2-2c67-4f60-a565-33de09cbcef9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 2}",2026-07-04 20:47:49.421+00
4a111957-6113-4216-9962-9c3c8cfc1d19,72131db2-2c67-4f60-a565-33de09cbcef9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 2}",2026-07-04 20:47:49.849+00
27e3f9ba-51bd-4c6c-acd4-036d46cb054b,3ba24f17-c2bc-410e-b297-4539d9355ea7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-06 15:37:04.23+00
2d40a5ec-088a-494b-a9ed-88eb8e65bc41,3ba24f17-c2bc-410e-b297-4539d9355ea7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-06 15:37:35.486+00
e1ad92af-c35f-4aa7-a3e7-17bfc8d03c0c,3ba24f17-c2bc-410e-b297-4539d9355ea7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-06 15:37:56.408+00
f4e3b1cb-54d3-49c4-a352-c868d76334c1,1623d125-ad1f-4b0e-be59-aa131169f344,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,created,Template criado,"{""versionNumber"": 1}",2026-07-06 22:41:07.711+00
cbda303a-fee9-4632-847f-e73aa328dade,1623d125-ad1f-4b0e-be59-aa131169f344,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-06 22:41:11.608+00
5220b6c6-303a-4a98-91b3-abb405e59ad8,1623d125-ad1f-4b0e-be59-aa131169f344,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,published,Template publicado,"{""versionNumber"": 1}",2026-07-06 22:41:11.962+00
d07bec07-7103-46ff-9fd1-0e96f9eb0264,3ba24f17-c2bc-410e-b297-4539d9355ea7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-07 00:26:53.04+00
