id,profileId,status,consentVersion,consentedAt,declinedAt,dismissedAt,source,createdAt,updatedAt
99450293-1c6b-43fb-b4b9-8847c80f35cc,9647402f-c830-48fb-92a7-e1e0f719045f,accepted,1.0,2026-07-06 20:40:14.448+00,,,login_prompt,2026-07-06 20:40:14.449+00,2026-07-06 20:40:14.449+00
d70564e4-577b-406c-9396-7d036fc183fd,ea9a61b8-1405-46fd-b640-6e2a9d4db8cb,accepted,1.0,2026-07-22 13:06:52.911+00,,,login_prompt,2026-07-07 15:28:55.188+00,2026-07-22 13:06:52.912+00
d4779759-384b-4472-abe2-183bb177f3b3,ffd767a5-8f34-4ccf-b35e-a12c01c0a4ce,dismissed,1.0,,,2026-07-07 12:07:01.348+00,login_prompt,2026-07-07 12:07:01.35+00,2026-07-07 12:07:01.35+00
3157485f-6888-4115-9581-dd3e58ad864c,1342b17d-f465-4fa8-a88f-2d4c62282bdc,dismissed,1.0,,,2026-07-07 13:14:06.036+00,login_prompt,2026-06-30 11:57:45.696+00,2026-07-07 13:14:06.037+00
7a59fb17-8ecc-48a1-85d3-2e89ca1f1f8c,493aecc1-6791-4d62-bc63-f4f55c78e44e,dismissed,1.0,,,2026-07-07 13:58:14.232+00,login_prompt,2026-06-29 10:54:50.015+00,2026-07-07 13:58:14.233+00
c997aa35-02e6-455c-9276-1fd03b3d4c43,72aeb445-484f-4979-8c2a-d34ec40b22b0,dismissed,1.0,,,2026-07-22 13:58:34.396+00,login_prompt,2026-07-02 17:07:02.596+00,2026-07-22 13:58:34.397+00
047a9edd-f660-4318-bf5d-1fab253a8dc0,d9fa9d1e-a215-4c32-955d-45e90512c6a2,dismissed,1.0,,,2026-07-22 16:45:50.386+00,login_prompt,2026-07-07 15:10:33.824+00,2026-07-22 16:45:50.387+00
e239de3c-4822-43bd-b7f1-c65d2d05bfe0,236ad193-19a5-4425-a354-f763852904d8,dismissed,1.0,,,2026-07-17 12:33:00.722+00,login_prompt,2026-07-08 17:26:35.216+00,2026-07-17 12:33:00.723+00
b5e1f79a-3640-4fc0-ae89-42f504b434fc,ed586056-17ca-4287-936a-c16e642c63a6,dismissed,1.0,,,2026-07-09 14:02:56.562+00,login_prompt,2026-07-09 14:02:56.564+00,2026-07-09 14:02:56.564+00
dd56acad-7b5a-47a7-b122-5d94e1e1b132,5eaffc5c-1b1d-4609-9901-7e0c3a63caa8,dismissed,1.0,,,2026-07-17 20:05:17.882+00,login_prompt,2026-06-29 13:20:00.767+00,2026-07-17 20:05:17.883+00
cfe5fa83-305b-4a29-8d36-4fc487532d40,40e83a63-14e3-4b21-bf74-fdd96b791fc9,dismissed,1.0,,,2026-07-21 20:01:57.08+00,login_prompt,2026-06-29 18:03:22.88+00,2026-07-21 20:01:57.081+00
27739b53-bb94-42a5-afe8-74fc1b0e2bb2,fc017fe5-c0fd-4022-bf36-9cb2fdb55195,dismissed,1.0,,,2026-07-21 15:46:30.501+00,login_prompt,2026-06-29 13:29:39.955+00,2026-07-21 15:46:30.502+00
25aec580-2abf-4cfd-a58a-03387a5ecb1c,9b5aa503-44ec-40de-9ceb-b1475639767e,dismissed,1.0,,,2026-07-10 20:37:07.402+00,login_prompt,2026-06-30 14:26:18.931+00,2026-07-10 20:37:07.404+00
b0003146-cc4e-49df-8077-2c96ecf028bb,2c3a1ece-7645-4b06-b934-d38429949296,accepted,1.0,2026-07-13 13:24:24.042+00,,,login_prompt,2026-06-29 12:21:10.94+00,2026-07-13 13:24:24.043+00
9974a38c-8296-4ae2-b31d-48a4ed9ff6f8,7485599c-ad1e-42ba-91ef-7a71fddfa4f4,accepted,1.0,2026-07-14 10:54:24.767+00,,,login_prompt,2026-07-03 20:23:49.732+00,2026-07-14 10:54:24.768+00
3f928e55-3d65-41fc-be74-5c5b4668ee1f,88826808-567c-46b2-b41d-2168ef6c85d2,accepted,1.0,2026-07-14 14:19:52.868+00,,,login_prompt,2026-06-29 12:17:51.418+00,2026-07-14 14:19:52.87+00
b4b3d46c-f6a3-47bc-baf9-59f59f0559b9,678c949f-b372-4aba-9d9b-26d422134531,dismissed,1.0,,,2026-07-15 00:29:23.877+00,login_prompt,2026-06-29 12:30:44.335+00,2026-07-15 00:29:23.878+00
44e16e65-a74e-41cc-b0f9-475187ac6985,3b5afa2c-25d7-4c8b-9c26-ea0b2d4139d7,dismissed,1.0,,,2026-07-24 17:49:00.821+00,login_prompt,2026-07-06 16:25:44.651+00,2026-07-24 17:49:00.822+00
4935e35e-4de7-4702-b074-43973fc92034,98e2449f-aab7-48a8-8793-9f669f53ac5e,dismissed,1.0,,,2026-07-15 13:39:15.766+00,login_prompt,2026-07-07 19:47:39.379+00,2026-07-15 13:39:15.767+00
756dafaa-5211-4e7c-8fe7-3c1bb5d01535,8db234c2-f38d-4783-aca0-c9e566a4cd53,dismissed,1.0,,,2026-07-16 17:26:28.504+00,login_prompt,2026-07-02 12:51:54.682+00,2026-07-16 17:26:28.505+00
ad8dcd7b-d210-4426-a5b4-0cf829e52c14,2f940451-4cf3-44e3-9040-07942e4146c1,dismissed,1.0,,,2026-07-17 16:59:19.79+00,login_prompt,2026-06-30 15:00:02.046+00,2026-07-17 16:59:19.791+00
d1e85e6f-9190-4b30-8a5c-76a55c4ba722,87a43e47-33e7-4623-90d0-260dfdf5c5bf,accepted,1.0,2026-07-21 16:41:52.272+00,,,login_prompt,2026-06-30 17:37:01.289+00,2026-07-21 16:41:52.273+00
14676d41-1895-4269-9a56-5990af51a4d2,8474aaf6-e7d1-4165-9bef-bf76bc701038,accepted,1.0,2026-07-22 12:01:50.083+00,,,settings_sheet,2026-06-29 03:10:28.881+00,2026-07-22 12:01:50.084+00
7ed06204-27fd-4ce9-a369-4a45e6397ea8,e50fcb28-10bf-4ad0-809a-1785d438b3c1,accepted,1.0,2026-07-10 19:52:16.696+00,,,login_prompt,2026-07-10 19:52:16.697+00,2026-07-10 19:52:16.697+00
be1f497d-f577-4ad1-a587-7689a04644ed,7f87b999-6509-4e17-8bb0-15b51121ff89,accepted,1.0,2026-07-13 12:47:41.425+00,,,login_prompt,2026-07-13 12:47:41.426+00,2026-07-13 12:47:41.426+00
079bb7b4-3a7a-4509-8921-aa58cb2f25d7,52151fdc-3a33-4ef1-88ef-f9eab136531c,accepted,1.0,2026-07-13 16:42:28.777+00,,,login_prompt,2026-07-13 16:42:28.778+00,2026-07-13 16:42:28.778+00
