id,leadId,finalizedDateAt,startDateAt,duration,amount,notes,closerId,operadora,productName,contractFileUrl,contractStoragePath,createdAt,updatedAt,contractType
9d162e83-ff54-461b-a25d-70c10341facc,4c3e0638-a6fd-4996-809e-93d0655464bd,2026-01-16 21:07:20.298+00,2026-01-16 21:07:20.298+00,0,3748.00,Venda finalizada. Valor: R$ 3748,,,,,,2026-01-16 21:07:20.3+00,2026-01-16 21:07:20.3+00,individual
a3c6f5c9-b5f0-4c6b-9256-6a5ccf3373be,dfce96fa-35a8-4d24-a58c-b8f5e503f8fb,2026-01-16 19:08:13.81+00,2026-01-16 19:08:13.81+00,0,0.00,Venda finalizada. Valor: R$ 0,,,,,,2026-01-16 19:08:13.811+00,2026-01-16 19:08:13.811+00,individual
c3e27813-cb97-494e-b8c7-f0f30fda13d6,a307c83d-9026-4ab5-b813-e6d93019c873,2026-04-24 13:26:10.54+00,2026-04-24 13:26:10.54+00,30,0.00,Venda finalizada. Valor: R$ 0,,,,,,2026-04-24 13:26:10.541+00,2026-04-24 13:26:10.541+00,individual
ce480bf2-3381-43c9-b954-851bd7ec0738,8b2844a5-7ce9-4b0b-be60-e1851cd95dba,2027-05-20 03:00:00+00,2026-05-20 03:00:00+00,397,784.64,,493aecc1-6791-4d62-bc63-f4f55c78e44e,Alice,Conforto,,,2026-05-22 14:55:11.741+00,2026-05-22 14:55:11.741+00,individual
ddee8e54-9c30-40cb-9898-a8db7c482c75,0b8c981d-da40-4947-b002-39a0a898e784,2026-05-12 19:21:53.338+00,2026-05-12 19:21:53.338+00,43,1300.00,Venda finalizada. Valor: R$ 1300,,,,,,2026-05-12 19:21:53.339+00,2026-05-12 19:21:53.339+00,individual
eb939ab8-383a-4d4c-8acf-2011da0d7b44,3e3a0a75-5187-4cca-8c58-21eb894c68df,2026-02-21 15:20:18.436+00,2026-02-21 15:20:18.436+00,31,100.00,Venda finalizada. Valor: R$ 100,,,,,,2026-02-21 15:20:18.438+00,2026-02-21 15:20:18.438+00,individual
ece39396-8c3b-4f3c-9244-004caa12b78f,ebd0fe0a-dbb2-4548-8343-f5745111fa37,2026-10-08 03:00:00+00,2026-05-11 03:00:00+00,155,10000.00,,,,,,,2026-05-11 23:50:33.861+00,2026-05-11 23:50:33.861+00,individual
ede8662f-6da0-416c-8969-f5d3923f89e2,700c8230-11af-49bb-812c-d1d42acebd69,2026-04-24 13:25:39.045+00,2026-04-24 13:25:39.045+00,30,0.00,Venda finalizada. Valor: R$ 0,,,,,,2026-04-24 13:25:39.046+00,2026-04-24 13:25:39.046+00,individual
ef290fec-32e6-4101-87b2-c230d1027de2,22eb9d43-29e7-49ce-bd17-087b6123d1ca,2027-05-07 03:00:00+00,2026-05-07 03:00:00+00,366,10000.00,,,Unimed,,,,2026-05-07 20:23:38.284+00,2026-05-22 18:00:00.879+00,individual
180d6eb0-05aa-4998-b34c-6ac095acf01c,354ebf1f-4754-400a-8a07-5edcdde139a9,2027-08-18 03:00:00+00,2026-08-18 03:00:00+00,389,1780.13,,e50fcb28-10bf-4ad0-809a-1785d438b3c1,Porto Seguro,p320 Q copar,,,2026-07-24 20:19:00.896+00,2026-07-24 20:19:00.896+00,corporate
2a13ad0d-aa2c-4ca4-ac7a-0f535eeb5071,ebd0fe0a-dbb2-4548-8343-f5745111fa37,2026-05-13 19:48:57.951+00,2026-05-13 03:00:00+00,7,10000.00,Venda finalizada. Valor: R$ 10000,,Amil,Nova Adesão,,,2026-05-13 19:48:57.954+00,2026-05-22 18:01:11.143+00,individual
167fb09f-74b8-46a3-8054-fd5a5c307a34,8443f631-713d-4ef9-b91c-cf9ee51fda2b,2028-06-15 03:00:00+00,2026-06-15 03:00:00+00,754,1300.00,,493aecc1-6791-4d62-bc63-f4f55c78e44e,Porto Seguro,,,,2026-06-01 13:32:16.355+00,2026-06-01 13:32:16.355+00,individual
d4e72b2b-34ec-4815-8257-d47ad2b8bf83,944fbc93-ed72-4048-a86f-b341e89faba9,2027-06-02 03:00:00+00,2026-06-02 03:00:00+00,365,1.00,,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Plena,,,,2026-06-02 16:16:28.403+00,2026-06-10 22:17:27.934+00,individual
d1a31313-32d5-4c5a-98af-cb05c0193c65,bb599071-cacf-4f51-acab-bc2d5c266f5f,2027-07-07 03:00:00+00,2026-07-07 03:00:00+00,418,3113.18,,87a43e47-33e7-4623-90d0-260dfdf5c5bf,Amil,S750,,,2026-07-16 14:44:22.829+00,2026-07-16 14:44:22.829+00,corporate
79200792-e8e4-4ae7-8215-b302ed0c1d3e,18d49464-a9f5-49fd-b830-e9cf435e5acc,2027-05-23 03:00:00+00,2026-05-22 03:00:00+00,365,10000.00,,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Hapvida,,,,2026-05-22 17:58:26.697+00,2026-06-10 22:37:34.711+00,individual
6f9ebd30-7a32-4af6-b35a-529505888bac,aef74462-f40d-4584-8b25-df58301fce0a,2026-06-30 03:00:00+00,2026-06-18 03:00:00+00,66,471.88,,c1f13659-b28c-4d50-8375-5bf200294992,Outros,Select Vitória 100,,,2026-06-18 13:06:27.772+00,2026-06-18 13:06:27.772+00,corporate
13485e97-d9f0-47a9-9c63-e185238a0dcc,eeab7f9d-764a-484e-8a77-07df27ded95b,2027-06-17 03:00:00+00,2026-06-18 03:00:00+00,429,5600.00,,678c949f-b372-4aba-9d9b-26d422134531,Alice,Exclusivo,,,2026-06-18 14:12:02.636+00,2026-06-18 14:12:02.636+00,corporate
7ca376db-ea8c-4647-9daf-735a0ea9bb71,a3894c1e-72c8-4389-9e78-f4033b87df8a,2027-06-12 03:00:00+00,2026-06-12 03:00:00+00,352,1195.06,,ad6441cb-f477-404c-8dc4-400fcc9e3a7e,Prevent Senior,PREVENT 1025,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/lead-attachments/a3894c1e-72c8-4389-9e78-f4033b87df8a/1782328774245-qcxi1v-Joseane_contrato_Prevent.pdf,a3894c1e-72c8-4389-9e78-f4033b87df8a/1782328774245-qcxi1v-Joseane_contrato_Prevent.pdf,2026-06-24 19:19:39.362+00,2026-06-24 19:19:39.362+00,corporate
77f0952c-489f-4d94-b31c-9b7c38151e79,b9098f4d-a24a-4211-8278-87b9ea3876d7,2026-06-26 03:00:00+00,2026-06-25 03:00:00+00,0,1080.00,,76e33705-980f-4c41-a0b3-3c25511b66cb,Amil,bronze mais,,,2026-06-26 00:20:31.507+00,2026-06-26 00:20:31.507+00,corporate
08121e4e-2686-4c38-abd7-c4896ca4aa1e,d00300ff-b513-4214-a4dd-3a59626dfb6e,2027-06-22 03:00:00+00,2026-06-22 03:00:00+00,397,986.25,Comissão de 300% já recebida.,493aecc1-6791-4d62-bc63-f4f55c78e44e,Alice,Equilíbrio,,,2026-06-26 18:58:11.533+00,2026-06-26 18:58:11.533+00,corporate
9e67b810-259c-4724-99f7-697caaaac96f,3e5c4b51-e012-4838-baa1-f3000db3660a,2026-06-30 03:00:00+00,2026-06-30 03:00:00+00,60,2602.87,,fd63bafa-9a78-43fb-9311-f78b8cbfb667,Amil,S7501,https://wcnxwdcoambpfwxwubka.supabase.co/storage/v1/object/public/lead-attachments/3e5c4b51-e012-4838-baa1-f3000db3660a/1782769635584-edj93u-ROZE_BULHO_ES_-_Proposta_assinada.pdf,3e5c4b51-e012-4838-baa1-f3000db3660a/1782769635584-edj93u-ROZE_BULHO_ES_-_Proposta_assinada.pdf,2026-06-29 21:47:21.862+00,2026-06-29 21:47:21.862+00,corporate
08d3ddb2-412e-47a5-b78a-2437f8655a79,18303ac2-a7eb-4e2e-be8c-ef985361ea4a,2028-04-28 03:00:00+00,2026-04-30 03:00:00+00,728,624.91,,fd63bafa-9a78-43fb-9311-f78b8cbfb667,Hapvida,,,,2026-07-01 17:30:55.563+00,2026-07-01 17:30:55.563+00,individual
82559a3b-09a4-43d7-adb4-85f26521c481,693e7f6f-4483-49a4-a733-d79a326c8631,2026-04-30 03:00:00+00,2026-04-30 03:00:00+00,-1,271.66,,fd63bafa-9a78-43fb-9311-f78b8cbfb667,Hapvida,,,,2026-07-01 17:44:25.372+00,2026-07-01 17:44:25.372+00,corporate
64ac13e1-008f-4f48-a8ac-0133596d90e1,d1e0fa28-1d65-48be-810a-25d3444d7b0a,2026-06-16 03:00:00+00,2026-06-05 03:00:00+00,20,749.61,,fd63bafa-9a78-43fb-9311-f78b8cbfb667,NotreDame Intermédica (GNDI),Anderson Abraços,,,2026-07-02 00:54:51.568+00,2026-07-02 00:54:51.568+00,corporate
b2250a39-8e69-41b9-a7c2-c662ce98d6a1,0e3bd98f-f50e-434c-84e0-e5f41beaa638,2028-07-04 03:00:00+00,2026-07-05 03:00:00+00,741,950.00,,8396bd66-e3ed-4593-b985-3e380cd308eb,Porto Seguro,,,,2026-07-13 13:54:56.274+00,2026-07-13 13:54:56.274+00,individual
