id,teamId,createdBy,name,description,csvStoragePath,totalContacts,isArchived,createdAt,updatedAt,isSystemDefault,isBlocklist,managedByBackofficeUserId
8bbdbf06-99a7-4cf5-b117-9495362093a0,862835fd-54ad-4ebd-986a-b5392f1bb227,c0daec83-b339-449f-9255-98985fbb7b60,Bloqueados,,,0,f,2026-07-19 14:06:29.178+00,2026-07-19 14:06:29.178+00,f,t,
8fba3ea1-9bab-4cb2-a561-b0b7a4b5ec4b,7b577c22-5513-42cc-ab19-2bf867e14ebc,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Todos contatos,,,3647,f,2026-07-08 15:34:20.786+00,2026-07-24 16:22:58.438+00,t,f,
cc3410c5-7a6f-4b69-b93b-b2278e56b413,7b577c22-5513-42cc-ab19-2bf867e14ebc,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Bloqueados,,,4,f,2026-07-20 12:58:10.59+00,2026-07-24 16:22:58.493+00,f,t,
908c2dc3-0b2f-437c-84f9-6995824f27db,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,NOVA CAMPANHA,,,0,f,2026-07-17 15:07:57.538+00,2026-07-21 18:25:39.449+00,f,f,
f8697d1a-d52a-4ffc-b196-0b2400867dce,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,teste de erro,,,0,f,2026-07-21 23:42:33.782+00,2026-07-21 23:42:33.782+00,f,f,
6d629f57-f6eb-4516-8cfb-8e39ce0d0743,1c2d5668-5cd9-49a7-a138-3ccd2bea5cbb,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Clickup,,,1140,f,2026-07-23 03:25:11.298+00,2026-07-24 13:16:47.936+00,f,f,
644ae059-8672-464b-946a-1c856fa919e5,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Advogados 005,,,2000,f,2026-07-24 15:36:05.262+00,2026-07-24 15:55:03.368+00,f,f,
b4e632e3-bd44-43f8-81d0-4dc4c0f41fea,ebe67fdd-2e23-43c0-8e9b-8abec2682d09,8794ad67-aa37-4f98-b1d3-bfd19ceaebf5,Todos contatos,,,0,f,2026-07-24 19:40:48.588+00,2026-07-24 19:40:48.588+00,t,f,
a1ff1830-f053-4cd2-a63e-7273910ce338,ebe67fdd-2e23-43c0-8e9b-8abec2682d09,8794ad67-aa37-4f98-b1d3-bfd19ceaebf5,Bloqueados,,,0,f,2026-07-24 19:40:48.703+00,2026-07-24 19:40:48.703+00,f,t,
596e3ff2-0d99-4ed7-9ae3-40c0109ea9f2,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Advogados 003,,,1996,f,2026-07-24 15:35:19.706+00,2026-07-27 13:39:37.594+00,f,f,
634f3474-5783-4af2-96b8-31a88ebc8aae,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Bloqueados,,,11,f,2026-07-22 16:55:23.597+00,2026-07-27 18:30:57.497+00,f,t,
